Lang Code	EN	SCN
^multiple_game	Multiplayer	多人游戏
^single_game	Single Game	单人游戏
^rank	Rank	好友排行
^exit	Exit	退出游戏
^lang	中文	En

^setting_title	Menu	菜单
^setting_back	Back Lobby	返回主页	
^setting_exit	Exit Game		退出游戏

^player_record	TIME: {0}\nJUMPS: {1}\nWIN TIMES: {2} 	完成时间: {0}\n跳跃次数: {1}\n获胜次数: {2}
^game_completed	COMPLETED ON ATTEMPT!	到达世界最高层！
^game_continue	CONTINUE	继续


^game_guide1	Oh,where are you from!	老天,你怎么来的
^game_guide2	guide text 2!	引导2
^game_guide3	guide text 3!	引导3


^game_random1	emm,maybe I can fly you up	老弟，也许我能带你飞上去
^game_random2	radom2	随机2
^game_random3	radom3	随机3
^game_random4	radom4	随机4
^game_random5	radom5	随机5
^game_random6	radom6	随机6

^game_completed_speak	you really achived!	你真的上来了

^ui_match_cancel	match cancel	取消匹配
^ui_matching	matching...	正在匹配...
^game_over	Game Over	游戏结束
^ui_norecord	No Record	暂无记录

^ui_login_btn	Sign in/Sign up	登录/注册
^ui_login_account	ACCOUNT	账号
^ui_login_password	PASSWORD	密码

^ui_rank_title	Hall of Fame	排行榜
^ui_rank_name	Player	玩家
^ui_rank_rank	Rank	排名
^ui_rank_win	Win	获胜
^ui_rank_time	Best Time	最佳时间
^ui_rank_jump	Best Jumps	最佳跳跃

^ui_ad_text	watch a video back to last position?	是否观看广告回到上一步的位置？
^ui_ad_btn	watch	观看